Owner,Player,Week1_points
Mabbu,Quinton de Kock,6.0
Mabbu,David Warner,0.0
Mabbu,Mitchell Marsh,0.0
Mabbu,Lockie Ferguson,40.0
Mabbu,Bhuvneshwar Kumar,0.0
Mabbu,Abdul Samad,0.0
Mabbu,Jaydev Unadkat,0.0
Mabbu,Rishi Dhawan,0.0
Mabbu,Matthew Wade,55.0
Mabbu,Sandeep Sharma,7.0
Mabbu,Abhinav Manohar,31.0
Mabbu,Rassie van der Dussen,0.0
Mabbu,Tilak Varma,42.0
Mabbu,Shardul Thakur,39.0
Mabbu,Venkatesh Iyer,0.0
Siddhu,Odean Smith,77.0
Siddhu,Baba Indrajith,0.0
Siddhu,Mustafizur Rahman,0.0
Siddhu,Ravindra Jadeja,0.0
Siddhu,Basil Thampi,44.0
Siddhu,Nathan Coulter-Nile,0.0
Siddhu,Sheldon Jackson,0.0
Siddhu,Mayank Agarwal,56.0
Siddhu,Aaron Finch,0.0
Siddhu,Evin Lewis,13.0
Siddhu,Umran Malik,0.0
Siddhu,Glenn Maxwell,0.0
Siddhu,Sarfaraz Khan,0.0
Siddhu,Suryakumar Yadav,0.0
Siddhu,Mohammed Shami,140.0
Bhar,Moeen Ali,0.0
Bhar,Anmolpreet Singh,0.0
Bhar,Prasidh Krishna,0.0
Bhar,Kartik Tyagi,0.0
Bhar,Liam Livingstone,50.0
Bhar,Hardik Pandya,74.0
Bhar,Marco Jansen,0.0
Bhar,Sanju Samson,0.0
Bhar,Marcus Stoinis,0.0
Bhar,Priyam Garg,0.0
Bhar,David Willey,2.0
Bhar,Shivam Dube,0.0
Bhar,Kuldeep Yadav,74.0
Bhar,Mandeep Singh,4.0
Bhar,Tim David,28.0
Bhar,Umesh Yadav,0.0
Srini,Shahbaz Ahmed,29.0
Srini,Sam Billings,0.0
Srini,Lalit Yadav,94.0
Srini,Ajinkya Rahane,0.0
Srini,Tushar Deshpande,0.0
Srini,Ayush Badoni,0.0
Srini,Wriddhiman Saha,0.0
Srini,Jason Holder,0.0
Srini,Washington Sundar,0.0
Srini,Lungi Ngidi,0.0
Srini,Ruturaj Gaikwad,0.0
Srini,Adam Milne,0.0
Srini,Rahul Chahar,61.0
Srini,Rahul Tripathi,0.0
Srini,Prithvi Shaw,80.0
Srini,Devon Conway,0.0
Saju,Wanindu Hasaranga de Silva,26.0
Saju,Dushmantha Chameera,0.0
Saju,Kane Williamson,0.0
Saju,Suyash Prabhudessai,0.0
Saju,Varun Chakravarthy,0.0
Saju,Sanjay Yadav,0.0
Saju,Rashid Khan,51.0
Saju,Axar Patel,76.0
Saju,Anuj Rawat,46.0
Saju,KL Rahul,6.0
Saju,Shivam Mavi,0.0
Saju,Sunil Narine,0.0
Saju,Yash Dayal,0.0
Saju,Avesh Khan,30.0
Saju,Tymal Mills,0.0
Abhi,Manan Vohra,0.0
Abhi,Manish Pandey,18.0
Abhi,Anrich Nortje,0.0
Abhi,Deepak Hooda,123.0
Abhi,Khaleel Ahmed,81.0
Abhi,Shimron Hetmyer,0.0
Abhi,Tim Seifert,47.0
Abhi,Andrew Tye,0.0
Abhi,Shubman Gill,7.0
Abhi,Josh Hazlewood,0.0
Abhi,Virat Kohli,95.0
Abhi,Ravichandran Ashwin,0.0
Abhi,Krishnappa Gowtham,0.0
Abhi,KM Asif,0.0
Abhi,Nicholas Pooran,0.0
Jilla,Kieron Pollard,0.0
Jilla,Mohammad Nabi,0.0
Jilla,Ambati Rayudu,0.0
Jilla,Dinesh Karthik,64.0
Jilla,David Miller,54.0
Jilla,Fabian Allen,0.0
Jilla,Pat Cummins,0.0
Jilla,Shahrukh Khan,48.0
Jilla,Vijay Shankar,7.0
Jilla,Kamlesh Nagarkoti,0.0
Jilla,Yashasvi Jaiswal,0.0
Jilla,T Natarajan,0.0
Jilla,Sherfane Rutherford,0.0
Jilla,Varun Aaron,23.0
Jilla,Rishabh Pant,5.0
Ash,Shikhar Dhawan,111.0
Ash,Bhanuka Rajapaksa,0.0
Ash,Anmolpreet Singh,4.0
Ash,Ankit Rajpoot,0.0
Ash,Dwayne Bravo,0.0
Ash,Aiden Markram,0.0
Ash,Jasprit Bumrah,-9.0
Ash,Daniel Sams,7.0
Ash,Yuzvendra Chahal,0.0
Ash,Chetan Sakariya,0.0
Ash,Ravi Bishnoi,15.0
Ash,Devdutt Padikkal,0.0
Ash,Raj Bawa,0.0
Ash,Riley Meredith,0.0
Ash,Ishan Kishan,169.0
Ash,Trent Boult,0.0
Firi,Nitish Rana,0.0
Firi,Kagiso Rabada,0.0
Firi,Faf du Plessis,249.0
Firi,Rohit Sharma,73.0
Firi,Romario Shepherd,0.0
Firi,Dwaine Pretorius,0.0
Firi,Finn Allen,0.0
Firi,Tushar Deshpande,0.0
Firi,Riyan Parag,0.0
Firi,Krunal Pandya,102.0
Firi,Ravisrinivasan Sai Kishore,0.0
Firi,Abhishek Sharma,0.0
Firi,Gurkeerat Singh Mann,0.0
Firi,Mohammed Siraj,31.0
Firi,Rajvardhan Hangargekar,0.0
Firi,Jos Buttler,0.0
Firi,Mayank Markande,0.0
Shar,Andre Russell,0.0
Shar,Rovman Powell,8.0
Shar,Dewald Brevis,0.0
Shar,Rahul Tewatia,75.0
Shar,Yash Dhull,0.0
Shar,Shreyas Iyer,0.0
Shar,Dominic Drakes,0.0
Shar,Mahipal Lomror,0.0
Shar,Harshal Patel,30.0
Shar,Jonny Bairstow,0.0
Shar,Arshdeep Singh,46.0
Shar,Murugan Ashwin,103.0
Shar,Jayant Yadav,0.0
Shar,Robin Uthappa,0.0
Shar,Akash Deep,0.0
Shar,Maheesh Theekshana,0.0
