Mabbu,Siddhu,Bhar,Srini,Saju,Abhi,Jilla,Ash,Firi,Shar
Venkatesh Iyer,Ravindra Jadeja,Liam Livingstone,Ruturaj Gaikwad,KL Rahul,Virat Kohli,Ambati Rayudu,Shikhar Dhawan,Faf du Plessis,Shreyas Iyer
Quinton de Kock,Suryakumar Yadav,Hardik Pandya,Washington Sundar,Rashid Khan,Shubman Gill,Yashasvi Jaiswal,Jasprit Bumrah,Jos Buttler,Jonny Bairstow
Rassie van der Dussen,Mayank Agarwal,Moeen Ali,Rahul Tripathi,Varun Chakravarthy,Nicholas Pooran,Shahrukh Khan,Yuzvendra Chahal,Rohit Sharma,Andre Russell
Lockie Ferguson,Mohammed Shami,Marcus Stoinis,Prithvi Shaw,Kane Williamson,Manish Pandey,Rishabh Pant,Devdutt Padikkal,Kagiso Rabada,Rovman Powell
Shardul Thakur,Glenn Maxwell,Sanju Samson,Shahbaz Ahmed,Wanindu Hasaranga de Silva,Ravichandran Ashwin,Dinesh Karthik,Ravi Bishnoi,Nitish Rana,Arshdeep Singh
Bhuvneshwar Kumar,Nathan Coulter-Nile,Prasidh Krishna,Rahul Chahar,Axar Patel,Shimron Hetmyer,Kieron Pollard,Trent Boult,Krunal Pandya,Rahul Tewatia
Abdul Samad,Odean Smith,Tim David,Devon Conway,Sunil Narine,Andrew Tye,Mohammad Nabi,Dwayne Bravo,Mohammed Siraj,Harshal Patel
Matthew Wade,Umran Malik,Shivam Dube,Sam Billings,Shivam Mavi,Tim Seifert,T Natarajan,Ishan Kishan,Abhishek Sharma,Robin Uthappa
Tilak Varma,Evin Lewis,Priyam Garg,Ajinkya Rahane,Suyash Prabhudessai,Deepak Hooda,Vijay Shankar,Aiden Markram,Riyan Parag,Mahipal Lomror
Abhinav Manohar,Sarfaraz Khan,Umesh Yadav,Adam Milne,Avesh Khan,Khaleel Ahmed,David Miller,Chetan Sakariya,Romario Shepherd,Murugan Ashwin
Jaydev Unadkat,Sheldon Jackson,Kartik Tyagi,Lalit Yadav,Anuj Rawat,Krishnappa Gowtham,Fabian Allen,Daniel Sams,Ravisrinivasan Sai Kishore,Yash Dhull
Sandeep Sharma,Basil Thampi,Kuldeep Yadav,,,,Varun Aaron,Anmolpreet Singh,,
,,David Willey,,,,Sherfane Rutherford,,,
,,Mandeep Singh,,,,,,,
,,,,,,,,,
Sandeep Sharma,Baba Indrajith,Kuldeep Yadav,Lungi Ngidi,Dushmantha Chameera,Anrich Nortje,Pat Cummins,Riley Meredith,Rajvardhan Hangargekar,Dewald Brevis
David Warner,Aaron Finch,David Willey,Wriddhiman Saha,Sanjay Yadav,Josh Hazlewood,Varun Aaron,Raj Bawa,Gurkeerat Singh Mann,Dominic Drakes
Mitchell Marsh,Basil Thampi,Marco Jansen,Jason Holder,Yash Dayal,Manan Vohra,Kamlesh Nagarkoti,Anmolpreet Singh,Mayank Markande,Maheesh Theekshana
Rishi Dhawan,Mustafizur Rahman,Mandeep Singh,Tushar Deshpande,Tymal Mills,KM Asif,Sherfane Rutherford,Ankit Rajpoot,Finn Allen,Jayant Yadav
